title,publication_date,citations,date,year,month,field,subfield,topics,main_writer,all_writers,author_ids
Transcatheter versus surgical aortic valve replacement in lower-risk and higher-risk patients: a meta-analysis of randomized trials,2023-01-20,0,2023-01-20,2023,1,Medicine,Cardiology and Cardiovascular Medicine,"['Cardiac Valve Diseases and Treatments', 'Infective Endocarditis Diagnosis and Management', 'Aortic Disease and Treatment Approaches']",Michael J. Mack,"['Michael J. Mack', 'Michael J. Reardon', 'Vinod H. Thourani', 'Samir Kapadia', 'Lars Søndergaard', 'Nicolas M. Van Mieghem', 'Raj Makkar', 'Martin B. Leon']","['https://openalex.org/A5019062163', 'https://openalex.org/A5084818529', 'https://openalex.org/A5007473059', 'https://openalex.org/A5086890034', 'https://openalex.org/A5041706037', 'https://openalex.org/A5001295240', 'https://openalex.org/A5044531608', 'https://openalex.org/A5106234080']"
"Enhanced dehalogenation of brominated DBPs by catalyzed electrolysis using Vitamin B12 modified electrodes: Kinetics, mechanisms, and mass balances",2023-02-22,0,2023-02-22,2023,2,Engineering,Biomedical Engineering,"['Environmental remediation with nanomaterials', 'Advanced oxidation water treatment', 'Heavy Metal Exposure and Toxicity']",Lei Wang,"['Lei Wang', 'Hong Wang']","['https://openalex.org/A5058772567', 'https://openalex.org/A5100766860']"
Transradial Versus Transfemoral Access for Mechanical Thrombectomy: A Systematic Review and Meta‐Analysis,2023-06-22,0,2023-06-22,2023,6,Medicine,Pulmonary and Respiratory Medicine,"['Vascular Procedures and Complications', 'Central Venous Catheters and Hemodialysis', 'Venous Thromboembolism Diagnosis and Management']",Thanh N. Nguyen,"['Thanh N. Nguyen', 'Raul G Nogueira']","['https://openalex.org/A5060595935', 'https://openalex.org/A5075816868']"
"Phase 1b study of mirvetuximab soravtansine, a folate receptor alpha (FRα)–targeting antibody-drug conjugate, in combination with carboplatin and bevacizumab in patients with platinum-sensitive ovarian cancer",2024-03-05,0,2024-03-05,2024,3,Medicine,Reproductive Medicine,"['Ovarian cancer diagnosis and treatment', 'Intraperitoneal and Appendiceal Malignancies', 'Endometrial and Cervical Cancer Treatments']",Kathleen N. Moore,"['Kathleen N. Moore', 'David M. O’Malley']","['https://openalex.org/A5069337573', 'https://openalex.org/A5021359849']"
The BTLA–HVEM axis restricts CAR T cell efficacy in cancer,2024-06-01,0,2024-06-01,2024,6,Medicine,Oncology,"['CAR-T cell therapy research', 'Immune Cell Function and Interaction', 'T-cell and B-cell Immunology']",Michael Wang,"['Michael Wang', 'Stephen J. Schuster']","['https://openalex.org/A5100438316', 'https://openalex.org/A5080630441']"
Introducing the Texas Euclid Survey for Lyα (TESLA) Survey: Initial Study Correlating Galaxy Properties to Lyα Emission,2023-07-27,0,2023-07-27,2023,7,Physics and Astronomy,Astronomy and Astrophysics,"['Galaxies: Formation, Evolution, Phenomena', 'Astronomy and Astrophysical Research', 'Stellar, planetary, and galactic studies']",Steven L. Finkelstein,"['Steven L. Finkelstein', 'Micaela B. Bagley', 'Caitlin M. Casey', 'John R. Weaver']","['https://openalex.org/A5071420730', 'https://openalex.org/A5076942091', 'https://openalex.org/A5051114623', 'https://openalex.org/A5048287383']"
Molecular profiling of human substantia nigra identifies diverse neuron types associated with vulnerability in Parkinson’s disease,2024-01-10,0,2024-01-10,2024,1,Neuroscience,Neurology,"['Neuroinflammation and Neurodegeneration Mechanisms', 'Single-cell and spatial transcriptomics', 'Neurogenesis and neuroplasticity mechanisms']",Qian Wang,"['Qian Wang', 'John F. Crary', 'Bin Zhang']","['https://openalex.org/A5100390983', 'https://openalex.org/A5066548665', 'https://openalex.org/A5100392884']"
"Abstract GS02-01: Randomized phase 3 study of datopotamab deruxtecan vs chemotherapy for patients with previously-treated inoperable or metastatic hormone receptor-positive, HER2-negative breast cancer: Results from TROPION-Breast01",2024-05-02,0,2024-05-02,2024,5,Medicine,Pulmonary and Respiratory Medicine,"['Advanced Breast Cancer Therapies', 'Cancer Treatment and Pharmacology', 'HER2/EGFR in Cancer Research']",Aditya Bardia,"['Aditya Bardia', 'Komal Jhaveri', 'Seock‐Ah Im', 'Erika Hamilton', 'Kevin Kalinsky', 'Lu Xu']","['https://openalex.org/A5034972183', 'https://openalex.org/A5042743608', 'https://openalex.org/A5069050806', 'https://openalex.org/A5003060935', 'https://openalex.org/A5055781858', 'https://openalex.org/A5111495493']"
FORMULA-509: A multicenter randomized trial of post-operative salvage radiotherapy (SRT) and 6 months of GnRH agonist with or without abiraterone acetate/prednisone (AAP) and apalutamide (Apa) post-radical prostatectomy (RP).,2023-02-20,0,2023-02-20,2023,2,Medicine,Pulmonary and Respiratory Medicine,"['Prostate Cancer Treatment and Research', 'Prostate Cancer Diagnosis and Treatment', 'Bladder and Urothelial Cancer Treatments']",Daniel E. Spratt,"['Daniel E. Spratt', 'Felix Y. Feng', 'Rana R. McKay']","['https://openalex.org/A5076238068', 'https://openalex.org/A5020006331', 'https://openalex.org/A5058325420']"
Using Microphysiological System for the Development of Treatments for Joint Inflammation and Associated Cartilage Loss—A Pilot Study,2023-02-17,0,2023-02-17,2023,2,Medicine,Rheumatology,"['Osteoarthritis Treatment and Mechanisms', 'Mesenchymal stem cell research', 'Tendon Structure and Treatment']",Zhong Li,"['Zhong Li', 'Qi Gao']","['https://openalex.org/A5100428651', 'https://openalex.org/A5081328482']"
A second unveiling: Haplotig masking of the eastern oyster genome improves population‐level inference,2023-04-25,0,2023-04-25,2023,4,Environmental Science,Global and Planetary Change,"['Marine Bivalve and Aquaculture Studies', 'Genomics and Phylogenetic Studies', 'Genetic diversity and population structure']",Yan He,"['Yan He', 'Ming Liu']","['https://openalex.org/A5085186302', 'https://openalex.org/A5100347799']"
De novo design of diverse small molecule binders and sensors using Shape Complementary Pseudocycles,2023-12-21,0,2023-12-21,2023,12,"Biochemistry, Genetics and Molecular Biology",Structural Biology,"['Advanced Electron Microscopy Techniques and Applications', 'Advanced biosensing and bioanalysis techniques', 'Machine Learning in Materials Science']",David Baker,"['Asim K. Bera', 'Alex Kang', 'David Baker']","['https://openalex.org/A5021476730', 'https://openalex.org/A5046641635', 'https://openalex.org/A5053192926']"
Actin cytoskeleton vulnerability to disulfide stress mediates disulfidptosis,2023-02-06,0,2023-02-06,2023,2,Medicine,Pulmonary and Respiratory Medicine,"['Ferroptosis and cancer prognosis', 'Endoplasmic Reticulum Stress and Disease', 'Cancer, Hypoxia, and Metabolism']",Chao Wang,"['Chao Wang', 'Junjie Chen']","['https://openalex.org/A5100406874', 'https://openalex.org/A5100365539']"
Aspirin vs Placebo as Adjuvant Therapy for Breast Cancer,2024-04-29,0,2024-04-29,2024,4,Medicine,Pharmacology,"['Inflammatory mediators and NSAID effects', 'Cancer, Stress, Anesthesia, and Immune Response', 'Estrogen and related hormone effects']",Ann H. Partridge,"['Ann H. Partridge', 'Lisa A. Carey']","['https://openalex.org/A5039694693', 'https://openalex.org/A5052268581']"
"Prevalence of self-reported food allergy among adults in Jiangxi, China",2023-05-01,0,2023-05-01,2023,5,Medicine,Immunology and Allergy,"['Food Allergy and Anaphylaxis Research', 'Allergic Rhinitis and Sensitization', 'Asthma and respiratory diseases']",Yan Chen,"['Qian Zhao', 'Yan Chen']","['https://openalex.org/A5102553438', 'https://openalex.org/A5100378028']"
Time to clinical benefit of eplerenone among patients with heart failure and reduced ejection fraction: A subgroups analysis from the <scp>EMPHASIS‐HF</scp> trial,2023-06-28,0,2023-06-28,2023,6,Medicine,"Endocrinology, Diabetes and Metabolism","['Hormonal Regulation and Hypertension', 'Heart Failure Treatment and Management', 'Electrolyte and hormonal disorders']",João Pedro Ferreira,"['João Pedro Ferreira', 'John J.V. McMurray', 'Stuart J. Pocock', 'Bertram Pitt', 'Faı̈ez Zannad']","['https://openalex.org/A5100602883', 'https://openalex.org/A5027213857', 'https://openalex.org/A5023436129', 'https://openalex.org/A5102814262', 'https://openalex.org/A5036821495']"
Pangenomic analysis identifies structural variation associated with heat tolerance in pearl millet,2023-03-01,0,2023-03-01,2023,3,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,"['Plant biochemistry and biosynthesis', 'Endoplasmic Reticulum Stress and Disease', 'Plant Stress Responses and Tolerance']",Bin Xu,"['Bin Xu', 'Jing Wang', 'Dan Luo']","['https://openalex.org/A5082441170', 'https://openalex.org/A5082035943', 'https://openalex.org/A5100708348']"
Detectable Lipidomes and Metabolomes by Different Plasma Exosome Isolation Methods in Healthy Controls and Patients with Advanced Prostate and Lung Cancer,2023-01-17,0,2023-01-17,2023,1,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,"['Extracellular vesicles in disease', 'MicroRNA in disease regulation', 'RNA Interference and Gene Delivery']",Liang Wang,"['Min Liu', 'Liang Wang']","['https://openalex.org/A5100343951', 'https://openalex.org/A5100456567']"
The new timing in acute care surgery (new TACS) classification: a WSES Delphi consensus study,2023-04-28,0,2023-04-28,2023,4,Medicine,Cardiology and Cardiovascular Medicine,"['Cardiac, Anesthesia and Surgical Outcomes', 'Trauma and Emergency Care Studies', 'Hip and Femur Fractures']",Ernest E. Moore,"['Ernest E. Moore', 'Massimo Sartelli', 'Federico Coccolini', 'Massimo Sartelli', 'Kenji Inaba', 'Ernest E. Moore', 'Fausto Catena']","['https://openalex.org/A5041612225', 'https://openalex.org/A5050561510', 'https://openalex.org/A5109599157', 'https://openalex.org/A5050561510', 'https://openalex.org/A5047900529', 'https://openalex.org/A5041612225', 'https://openalex.org/A5083665962']"
Impact of smoking on urologic cancers: a snapshot of current evidence,2023-04-24,0,2023-04-24,2023,4,Medicine,Surgery,"['Bladder and Urothelial Cancer Treatments', 'Urinary and Genital Oncology Studies', 'Multiple and Secondary Primary Cancers']",Riccardo Autorino,"['Riccardo Autorino', 'Inderbir S. Gill', 'Giovanni Cacciamani']","['https://openalex.org/A5050834286', 'https://openalex.org/A5047742848', 'https://openalex.org/A5062586182']"
"Fabrication, performance, and potential environmental impacts of polysaccharide-based food packaging materials incorporated with phytochemicals: A review",2023-07-22,0,2023-07-22,2023,7,Materials Science,Biomaterials,"['Nanocomposite Films for Food Packaging', 'Polysaccharides Composition and Applications', 'Postharvest Quality and Shelf Life Management']",Wei Ding,"['Wei Ding', 'Jing Wang']","['https://openalex.org/A5077453148', 'https://openalex.org/A5100782773']"
Non-canonical MLL1 activity regulates centromeric phase separation and genome stability,2023-11-01,0,2023-11-01,2023,11,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,"['RNA Research and Splicing', 'Chromosomal and Genetic Variations', 'Genomics and Chromatin Dynamics']",Jing Xu,"['Jing Xu', 'He Wang']","['https://openalex.org/A5101552257', 'https://openalex.org/A5049005810']"
Data Resource Profile: Nationwide registry data for high-throughput epidemiology and machine learning (FinRegistry),2023-06-26,0,2023-06-26,2023,6,Environmental Science,"Health, Toxicology and Mutagenesis","['Health, Environment, Cognitive Aging', 'Machine Learning in Healthcare', 'Chronic Disease Management Strategies']",Aarno Palotie,"['Aarno Palotie', 'Mark J. Daly']","['https://openalex.org/A5085708490', 'https://openalex.org/A5107596541']"
Sequential Affinity Learning for Video Restoration,2023-10-26,0,2023-10-26,2023,10,Computer Science,Computer Vision and Pattern Recognition,"['Image Enhancement Techniques', 'Advanced Image Processing Techniques', 'Advanced Vision and Imaging']",Ye Tian,"['Ye Tian', 'Yun Liu']","['https://openalex.org/A5100387912', 'https://openalex.org/A5083093046']"
Mitigation of antibiotic resistome in swine manure by black soldier fly larval conversion combined with composting,2023-03-24,0,2023-03-24,2023,3,Agricultural and Biological Sciences,Insect Science,"['Insect Utilization and Effects', 'Pharmaceutical and Antibiotic Environmental Impacts']",Chen Wang,"['Chen Wang', 'Fang Li']","['https://openalex.org/A5100337534', 'https://openalex.org/A5100394176']"
Inference of Causal Relationships Between Genetic Risk Factors for Cardiometabolic Phenotypes and Female‐Specific Health Conditions,2023-02-27,0,2023-02-27,2023,2,"Biochemistry, Genetics and Molecular Biology",Genetics,"['Genetic Associations and Epidemiology', 'Birth, Development, and Health', 'BRCA gene mutations in cancer']",Hákon Hákonarson,"['Hákon Hákonarson', 'Yuan Luo']","['https://openalex.org/A5088244425', 'https://openalex.org/A5100452550']"
Nanostructured single-atom catalysts derived from natural building blocks,2024-01-01,0,2024-01-01,2024,1,Energy,"Renewable Energy, Sustainability and the Environment","['Electrocatalysts for Energy Conversion', 'Catalytic Processes in Materials Science', 'Catalysis and Hydrodesulfurization Studies']",Jin Wang,"['Jin Wang', 'Bin Zhao']","['https://openalex.org/A5100346236', 'https://openalex.org/A5039825742']"
A novel autosomal dominant <scp><i>ERLIN2</i></scp> variant activates endoplasmic reticulum stress in a Chinese <scp>HSP</scp> family,2023-09-27,0,2023-09-27,2023,9,Neuroscience,Cellular and Molecular Neuroscience,"['Hereditary Neurological Disorders', 'Endoplasmic Reticulum Stress and Disease', 'Neurological diseases and metabolism']",Juan Wang,"['Juan Wang', 'Jing Ma', 'Wei Zhang']","['https://openalex.org/A5100347447', 'https://openalex.org/A5110372125', 'https://openalex.org/A5100325009']"
Remnant cholesterol is an effective biomarker for predicting survival in patients with breast cancer,2024-04-22,0,2024-04-22,2024,4,"Biochemistry, Genetics and Molecular Biology",Cancer Research,"['Cancer, Lipids, and Metabolism', 'Estrogen and related hormone effects', 'Ferroptosis and cancer prognosis']",Tong Liu,"['Tong Liu', 'Yue Chen', 'Qi Zhang', 'Xiaowei Zhang']","['https://openalex.org/A5100392626', 'https://openalex.org/A5100454807', 'https://openalex.org/A5100360401', 'https://openalex.org/A5100353442']"
Unsupervised Domain Adaptation Via Contrastive Adversarial Domain Mixup: A Case Study on COVID-19,2024-01-01,0,2024-01-01,2024,1,Computer Science,Artificial Intelligence,"['Domain Adaptation and Few-Shot Learning', 'COVID-19 diagnosis using AI']",Yang Zhang,"['Yang Zhang', 'Dong Wang']","['https://openalex.org/A5100354592', 'https://openalex.org/A5100391517']"
Sulfur-Enriched Nanoporous Carbon: A Novel Approach to CO<sub>2</sub> Adsorption,2024-02-26,0,2024-02-26,2024,2,Engineering,Mechanical Engineering,"['Carbon Dioxide Capture Technologies', 'Covalent Organic Framework Applications', 'Membrane Separation and Gas Transport']",Chen Liu,"['Chen Liu', 'Xin Hu']","['https://openalex.org/A5100322155', 'https://openalex.org/A5044084507']"
Spectroscopy from Photometry: A Population of Extreme Emission Line Galaxies at 1.7 ≲ z ≲ 6.7 Selected with JWST Medium Band Filters,2023-11-01,0,2023-11-01,2023,11,Physics and Astronomy,Astronomy and Astrophysics,"['Galaxies: Formation, Evolution, Phenomena', 'Astronomy and Astrophysical Research', 'Gamma-ray bursts and supernovae']",Swara Ravindranath,"['Swara Ravindranath', 'Maruša Bradač', 'Gabriel Brammer', 'Chris J. Willott']","['https://openalex.org/A5002409275', 'https://openalex.org/A5011448264', 'https://openalex.org/A5078101036', 'https://openalex.org/A5041784606']"
DESI 2024 VII: Cosmological Constraints from the Full-Shape Modeling of Clustering Measurements,2024-11-18,0,2024-11-18,2024,11,Physics and Astronomy,Instrumentation,"['Astronomy and Astrophysical Research', 'Cosmology and Gravitation Theories', 'Radio Astronomy Observations and Technology']",J. Aguilar,"['J. Aguilar', 'D. M. Alexander', 'O. Alves', 'S. BenZvi', 'D. Brooks', 'A. Carnero Rosell', 'T. Claybaugh', 'T. M. Davis', 'Axel de la Macorra', 'P. Doel', 'Daniel J. Eisenstein', 'K. Fanning', 'Andreu Font-Ribera', 'Jaime E. Forero-Romero', 'Satya Gontcho A Gontcho', 'D. Gruen', 'J. Guy', 'K. Honscheid', 'S. Juneau', 'R. Kehoe', 'A. Kremin']","['https://openalex.org/A5053818740', 'https://openalex.org/A5082749953', 'https://openalex.org/A5040476290', 'https://openalex.org/A5058862798', 'https://openalex.org/A5085056630', 'https://openalex.org/A5060384954', 'https://openalex.org/A5109633377', 'https://openalex.org/A5075733791', 'https://openalex.org/A5036122402', 'https://openalex.org/A5107268552', 'https://openalex.org/A5063809341', 'https://openalex.org/A5071864247', 'https://openalex.org/A5028921959', 'https://openalex.org/A5075567505', 'https://openalex.org/A5056315122', 'https://openalex.org/A5022353207', 'https://openalex.org/A5066373063', 'https://openalex.org/A5063161579', 'https://openalex.org/A5015409091', 'https://openalex.org/A5084769750', 'https://openalex.org/A5112936111']"
Senotherapeutic drug treatment ameliorates chemotherapy-induced cachexia,2023-12-05,0,2023-12-05,2023,12,Medicine,Physiology,"['Nutrition and Health in Aging', 'Effects of Radiation Exposure', 'Telomeres, Telomerase, and Senescence']",Xu Zhang,"['Xu Zhang', 'Lei Zhang']","['https://openalex.org/A5100437278', 'https://openalex.org/A5100433830']"
Effect of multi-stage heat treatment on the microstructure and mechanical properties of Ti–6Al–4V alloy deposited by high-power laser melting deposition,2024-02-08,0,2024-02-08,2024,2,Engineering,Mechanical Engineering,"['Additive Manufacturing Materials and Processes', 'Welding Techniques and Residual Stresses', 'Titanium Alloys Microstructure and Properties']",Hui Chen,"['Yan Liu', 'Hui Chen']","['https://openalex.org/A5100611417', 'https://openalex.org/A5112682194']"
"Earth System Model Aerosol–Cloud Diagnostics (ESMAC Diags) package, version 2: assessing aerosols, clouds, and aerosol–cloud interactions via field campaign and long-term observations",2023-11-08,0,2023-11-08,2023,11,Environmental Science,Global and Planetary Change,"['Atmospheric aerosols and clouds', 'Atmospheric chemistry and aerosols', 'Atmospheric and Environmental Gas Dynamics']",Kai Zhang,"['Kai Zhang', 'Peng Wu']","['https://openalex.org/A5100671104', 'https://openalex.org/A5031304700']"
"Cold-resistant, highly stretchable ionic conductive hydrogels for intelligent motion recognition in winter sports",2023-12-22,0,2023-12-22,2023,12,Engineering,Biomedical Engineering,"['Advanced Sensor and Energy Harvesting Materials', 'Conducting polymers and applications', 'Tactile and Sensory Interactions']",Ning Wang,"['Ning Wang', 'Yu Gao']","['https://openalex.org/A5027352948', 'https://openalex.org/A5112409804']"
Spatiotemporal knowledge teacher–student reinforcement learning to detect liver tumors without contrast agents,2023-09-25,0,2023-09-25,2023,9,Computer Science,Computer Vision and Pattern Recognition,"['Advanced Neural Network Applications', 'Brain Tumor Detection and Classification', 'Visual Attention and Saliency Detection']",Dong Zhang,"['Dong Zhang', 'Shuo Li']","['https://openalex.org/A5101536880', 'https://openalex.org/A5100386630']"
Fully human monoclonal antibody targeting activated ADAM10 on colorectal cancer cells,2023-03-12,0,2023-03-12,2023,3,Medicine,Oncology,"['HER2/EGFR in Cancer Research', 'Cell Adhesion Molecules Research', 'Peptidase Inhibition and Analysis']",Yan Xu,"['Yan Xu', 'Kai Xu']","['https://openalex.org/A5034094966', 'https://openalex.org/A5042543645']"
Video-based Contrastive Learning on Decision Trees: from Action Recognition to Autism Diagnosis,2023-06-07,0,2023-06-07,2023,6,Computer Science,Computer Vision and Pattern Recognition,"['Human Pose and Action Recognition', 'Multimodal Machine Learning Applications', 'Autism Spectrum Disorder Research']",Na Zhang,"['Na Zhang', 'Shuo Wang', 'Xin Li']","['https://openalex.org/A5100385274', 'https://openalex.org/A5045409266', 'https://openalex.org/A5100354039']"
"Long-Term Neuropsychiatric, Neurocognitive, and Functional Outcomes of Patients Receiving ECMO",2024-01-05,0,2024-01-05,2024,1,Engineering,Biomedical Engineering,"['Mechanical Circulatory Support Devices', 'Cardiac Arrest and Resuscitation', 'Cardiovascular Issues in Pregnancy']",Daniel Brodie,"['Daniel Brodie', 'Sung‐Min Cho']","['https://openalex.org/A5027065226', 'https://openalex.org/A5100703053']"
Bipolar Androgen Therapy Followed by Androgen Receptor Inhibition as Sequential Therapy for Prostate Cancer,2023-04-07,0,2023-04-07,2023,4,Medicine,Pulmonary and Respiratory Medicine,"['Prostate Cancer Treatment and Research', 'Hormonal and reproductive studies', 'Estrogen and related hormone effects']",Hao Wang,"['Hao Wang', 'Emmanuel S. Antonarakis']","['https://openalex.org/A5100446031', 'https://openalex.org/A5018645768']"
Stay or travel? Spatial heterogeneity impact of air pollution on travel intention,2023-04-12,0,2023-04-12,2023,4,Environmental Science,"Health, Toxicology and Mutagenesis","['Air Quality and Health Impacts', 'Urban Transport and Accessibility', 'Vehicle emissions and performance']",Xiao Xiao,"['Xiao Xiao', 'Yang Yang']","['https://openalex.org/A5100451703', 'https://openalex.org/A5108052996']"
Cephalopod-inspired polymer composites with mechanically tunable infrared properties,2023-11-01,0,2023-11-01,2023,11,Engineering,Biomedical Engineering,"['Advanced Sensor and Energy Harvesting Materials', 'Advanced Materials and Mechanics', 'Micro and Nano Robotics']",Guang Yang,"['Guang Yang', 'Jing Guo', 'Qing Wang', 'Hong Wang']","['https://openalex.org/A5077900220', 'https://openalex.org/A5014625025', 'https://openalex.org/A5100434847', 'https://openalex.org/A5100370867']"
Advancements in AI for Oncology: Developing an Enhanced YOLOv5-based Cancer Cell Detection System,2024-03-01,0,2024-03-01,2024,3,Medicine,"Radiology, Nuclear Medicine and Imaging","['COVID-19 diagnosis using AI', 'Brain Tumor Detection and Classification']",Xin Chen,"['Xin Chen', 'Ting Xu', 'Tong Wu']","['https://openalex.org/A5100363050', 'https://openalex.org/A5108257678', 'https://openalex.org/A5109332576']"
De novo variants in the RNU4-2 snRNA cause a frequent neurodevelopmental syndrome,2024-07-11,0,2024-07-11,2024,7,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,"['RNA Research and Splicing', 'RNA and protein synthesis mechanisms', 'RNA modifications and cancer']",Jonathan A. Bernstein,"['Jonathan A. Bernstein', 'Heidi L. Rehm']","['https://openalex.org/A5103241526', 'https://openalex.org/A5014144046']"
"Prevalence, years lived with disability, and trends in anaemia burden by severity and cause, 1990–2021: findings from the Global Burden of Disease Study 2021",2023-07-31,0,2023-07-31,2023,7,Medicine,Hematology,"['Iron Metabolism and Disorders', 'Hemoglobinopathies and Related Disorders', 'Child Nutrition and Water Access']",Sajjad Ahmad,"['Sajjad Ahmad', 'Maciej Banach']","['https://openalex.org/A5076729140', 'https://openalex.org/A5046431472']"
The influence of chemical short-range order on the nanoindentation properties of high-entropy alloys prepared via laser powder bed fusion,2023-12-14,0,2023-12-14,2023,12,Engineering,Mechanical Engineering,"['High Entropy Alloys Studies', 'High-Temperature Coating Behaviors', 'Additive Manufacturing Materials and Processes']",Meng Wang,"['Meng Wang', 'Qian Wang']","['https://openalex.org/A5080392399', 'https://openalex.org/A5040210987']"
Understanding ion-transfer reactions in silver electrodissolution and electrodeposition from first-principles calculations and experiments,2024-01-01,0,2024-01-01,2024,1,Energy,"Renewable Energy, Sustainability and the Environment","['Electrocatalysts for Energy Conversion', 'Electrochemical Analysis and Applications', 'CO2 Reduction Techniques and Catalysts']",Yang Zhao,"['Yang Zhao', 'Martin Head‐Gordon']","['https://openalex.org/A5101622472', 'https://openalex.org/A5015311244']"
Decreased Quantitative Cerebral Blood Volume Is Associated With Poor Outcomes in Large Core Patients,2024-08-26,0,2024-08-26,2024,8,Medicine,Epidemiology,"['Acute Ischemic Stroke Management', 'Traumatic Brain Injury and Neurovascular Disturbances', 'Cerebrovascular and Carotid Artery Diseases']",Vivek Yedavalli,"['Vivek Yedavalli', 'Hamza Salim', 'Dhairya A. Lakhani', 'Adam A. Dmytriw', 'Adrien Guenego', 'Tobias D. Faizy', 'Jeremy J. Heit', 'Gregory W. Albers', 'Hanzhang Lu', 'Kambiz Nael', 'Argye E. Hillis']","['https://openalex.org/A5083117505', 'https://openalex.org/A5026172181', 'https://openalex.org/A5040297847', 'https://openalex.org/A5046667160', 'https://openalex.org/A5087580440', 'https://openalex.org/A5009601688', 'https://openalex.org/A5000937822', 'https://openalex.org/A5024460519', 'https://openalex.org/A5023293183', 'https://openalex.org/A5040894533', 'https://openalex.org/A5005636192']"
EV Charging Command Fast Allocation Approach Based on Deep Reinforcement Learning With Safety Modules,2023-06-05,0,2023-06-05,2023,6,Engineering,Electrical and Electronic Engineering,"['Electric Vehicles and Infrastructure', 'Advanced Battery Technologies Research', 'Electric and Hybrid Vehicle Technologies']",Jin Zhang,"['Jin Zhang', 'Mohammad Shahidehpour']","['https://openalex.org/A5104006709', 'https://openalex.org/A5062440795']"
Oral microbiome and ischemic stroke risk among elderly Chinese women,2023-10-08,0,2023-10-08,2023,10,Dentistry,Periodontics,"['Oral microbiology and periodontitis research', 'Gut microbiota and health', 'Salivary Gland Disorders and Functions']",Cong Wang,"['Cong Wang', 'Jie Wu', 'Wei Zheng']","['https://openalex.org/A5100390496', 'https://openalex.org/A5101721708', 'https://openalex.org/A5100401143']"
"Abstract GS3-03: GS3-03 ARV-471, a PROTAC® estrogen receptor (ER) degrader in advanced ER-positive/human epidermal growth factor receptor 2 (HER2)-negative breast cancer: phase 2 expansion (VERITAC) of a phase 1/2 study",2023-03-01,0,2023-03-01,2023,3,Medicine,Pulmonary and Respiratory Medicine,"['Advanced Breast Cancer Therapies', 'Protein Degradation and Inhibitors', 'Peptidase Inhibition and Analysis']",Sara A. Hurvitz,"['Sara A. Hurvitz', 'Erika Hamilton']","['https://openalex.org/A5068059897', 'https://openalex.org/A5003060935']"
Self-Powered Sensing in Wearable Electronics─A Paradigm Shift Technology,2023-10-23,0,2023-10-23,2023,10,Engineering,Biomedical Engineering,"['Advanced Sensor and Energy Harvesting Materials', 'Tactile and Sensory Interactions', 'Gas Sensing Nanomaterials and Sensors']",Wei Tang,"['Wei Tang', 'Zhong Lin Wang']","['https://openalex.org/A5071087797', 'https://openalex.org/A5100376569']"
"Enhancing photocatalytic CO2 reduction with TiO2-based materials: Strategies, mechanisms, challenges, and perspectives",2023-12-16,0,2023-12-16,2023,12,Energy,"Renewable Energy, Sustainability and the Environment","['Advanced Photocatalysis Techniques', 'Catalytic Processes in Materials Science', 'Electronic and Structural Properties of Oxides']",Zheng Wang,"['Zheng Wang', 'Dionysios D. Dionysiou']","['https://openalex.org/A5100401044', 'https://openalex.org/A5042867993']"
"Plant-based dietary patterns and mortality from all causes, cardiovascular disease, and cancer: The Multiethnic Cohort Study",2024-04-29,0,2024-04-29,2024,4,Environmental Science,Ecology,"['Agriculture Sustainability and Environmental Impact', 'Nutritional Studies and Diet', 'Diet and metabolism studies']",Christopher A. Haiman,"['Christopher A. Haiman', 'Loı̈c Le Marchand']","['https://openalex.org/A5063459619', 'https://openalex.org/A5053074659']"
Diffusion Source Inference for Large-Scale Complex Networks Based on Network Percolation,2023-10-13,0,2023-10-13,2023,10,Immunology and Microbiology,Microbiology,"['Bacterial Infections and Vaccines', 'Influenza Virus Research Studies', 'Bacteriophages and microbial interactions']",Yang Liu,"['Yang Liu', 'Xi Wang', 'Zhen Wang']","['https://openalex.org/A5078616777', 'https://openalex.org/A5100442261', 'https://openalex.org/A5100422377']"
Skp2-mediated MLKL degradation confers cisplatin-resistant in non-small cell lung cancer cells,2023-08-02,0,2023-08-02,2023,8,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,"['Cell death mechanisms and regulation', 'Ubiquitin and proteasome pathways', 'Cancer-related Molecular Pathways']",Wei Li,"['Li Zhou', 'Cong Wang', 'Jian Wang', 'Wei Li']","['https://openalex.org/A5100759746', 'https://openalex.org/A5100390463', 'https://openalex.org/A5100370519', 'https://openalex.org/A5075982592']"
Predicting mortality from AI cardiac volumes mass and coronary calcium on chest computed tomography,2024-03-29,0,2024-03-29,2024,3,Medicine,"Radiology, Nuclear Medicine and Imaging","['Cardiac Imaging and Diagnostics', 'Radiation Dose and Imaging', 'Advanced X-ray and CT Imaging']",Damini Dey,"['Damini Dey', 'Daniel S. Berman', 'Piotr J. Slomka']","['https://openalex.org/A5052713249', 'https://openalex.org/A5100727282', 'https://openalex.org/A5089319978']"
